username,full_name,password,camp_name,phone_number,email,medic,activation
user,Ewan,bc7a86ea36cecf1b7bc5407196780148d68c455c5b3da4b2538c21a9111736adb1e957904e9ef5df9fc2035ef44803f3b80f3a54c7df8391c42d7ff9d9d32ea556e7ab8f1af598f48d693b14f656e34ff33d387ff43804ba5a9d1abe1eef0582,Miron's house,12345,esafewf,False,True
1,Ewan Smith,Ewan Smith,Miron's house,756452,ewan@me.com,False,True
2,ewan s,40d5cc1535f89223b555ca8b0aca59f2c3bc8942ac9cdd60e76db37f8e61214fb31c22d7737f9a56ce5438b8bae93a4e6d9167810a2a39932fd466306713b776f7e8c505c89d0e284aabc44f4e055ac0fc24ef3014042b321a07a49a5e1273ef,Miron's house,1892,ewan@me,False,True
Anelia,AKG,88baee1cbc7a48d844c40d95cada2a83b2414e668b4a01e7aaed1908ce406ca3b643a6de3399ab5e41cb585e01884e335d3230d2744e834eb2bd864fce289698dc5c6799e406a391b9c0fb17c1b375bc04306ab6d231dadadb4ead0bc3aa7fc8,Miron's house - London,0978654654,sth@sth.com,True,True
123,1,fdbd8c74fa86ea42aa30fd822351940e4b57d5c4cb11bdd8a05cf3e570d65bc356abb90850363abd5c62fbe317f7c424a9bc169836a8a94f973515fc672891c4c9bfb7aff84e980e899474aeed68bdfbd65e869ed743eea95262d56e64a4b41d,Miron's house - London,1,1,True,True
rewrw,fdsfds32434,2b2882805133e4205bf04a9157908570ab9bc14b61c518086450be738190a848700268df2d4e26d9043346effce0f673de4459cd37c7ce0d083f72efeea99d49e10850eaecce48ee12853f73e39eb8ab641c71f9a3c38897f5449087810a166e,Miron's house - London,fdsf,fdsfd,False,True
12,3213,cfc50ed340620414c9dddad23e8a0ea335c1b72ac29bd260b9ebd58e4800c0e358934fe14bccb9976b0b1ca3f47ac7170528df96f00c2bcca5c8aa8e0e0b84e0344aa81e0cc6e7fe150e0c9bbcf965db2d6b4e4b1fbbfd0731c2bee8e9294bd9,Miron's house - London,3213,3213,False,True
1234324,Anelia,01ec1d40669c17ba13c5d3871431954b4c15263e931b94b874d4a7fe8e1b12de231ba079e598b8902cce64bee35e86d594dac3dd89386c0d276c51b6356b7ca1fc777684d147302971c66497f53ff94a69a6f0c496d86fb8ee5e0a78a2e23a2e,Miron's house - London,23,213,False,True
2312,anityyyy hgdgf,c987de360d8dca0c9d326ee5fe8ff5b402209fb1078243e1aa893821ecfbd45e353659bf4ed6b3ccb10b73ee9541098fa912f192b669ec0e774ad39fb565ddb0823be237ef176bf49c17927975df91a2b129d0d047c725b8b7766963bdb18bee,Miron's house - London,321,321,False,True
gfxhfshgf,hgfshg hjfjh,1165eddebace539ecb42f153dcfae3e27ad23b1b0b740edeff626884c9a94ecf6305ff37c5595149aac8ce3a374ed4632ab771095c3fdb98b20beb3b89b2fa44ea178b5180be9f9ab7549d2e7960f096e655cece332f5b4c15a06a4462eab2bc,Miron's house - London,343243254,hgfdhgf,False,True
jhgjhg,hgh hgfdhg,fbad9f403da70c171b46fc5c1f9d5d2c6475d1f1b1a0a0acdc2d6d0a7fde5e8829024c0c3dc636a4ecfd4a8dcbfd7b0ffb094b28abe570eecbfd476df0ef44e00911c444a921d950b7c704ada032afc4c53d0ee258ab4210f7fcb31b38bc5258,Miron's house - London,------3454656546,hgfdh@hfdhf,False,True
jhgjhgjhgfjhg,hgh hgfdhg,35d22b646a69f9bf7c2dfd44fe8c7e60cd4676f64958afc2db173d96384de21aebf90724b59f45b2e96e9fe85760cffab29735bba84b84a6c71526dc863269ed1de858cf080252e6759e0305c207c3bc79fe1e9f66625664d2ce061b9edb8019,Miron's house - London,34546.56546,hgfdh@hfdhf,False,True
gfhnhc,gfxhgfd hdj,461b389f7ab97caf59dd3ca3eb2b10a911a90614efbc36474613712c14ad6da0870d7d2229c3c952f45fd8223ed52ea21041ea3364260eef9cdac10dd1e16105eae6de319da793640fd556451d21d028b257eb80030d1137d2aed10ded3ea783,Miron's house - London,5435435,hgfxbgf@hgfd.vfdvf,False,True
54gtrt54,gtr gtr,4011e6e947e1960269b32d0a82205379fdbfac9ca0be3b87e5d1c942f00a5c97ec8ae506e0cf5d65cd063768fd0ea9ad3d55373649ec042efb367800cb3711ba23bc2470cb455d6f1ab21c5766746c85447264b664959e509091bd8ba1f45987,Miron's house - London,54636546,gtrw@gtwr.gtw,False,True
